ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży ;Kategoria
644;Buty Nike Court Borough Mid SE "Port Wine";339.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916793_600_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916793_600_2D_0003.jpg;Buty Damskie;Rozmiary:  36.5  37.5  38  39  40  40.5  41 35.5, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
645;Buty Nike Air Max 90 LEA "Black";519.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/921304_002_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/921304_002_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
646;Buty Nike MNS Air Max 90 LRA "White";519.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/921304_101_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/921304_101_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Biały, Sezon: Jesień/Zima;1;200;1;Buty damskie
647;Buty Nike WMNS Classic Cortez Leather "Light Rose";339.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/807471_013_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/807471_013_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  39  40  41 36.5, Kolor: Różowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
648;Buty le coq sportif Charline Metallic Suede "Dress Blue";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/1720183_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/1720183_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  39  40  41 36, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
649;Buty Nike WMNS LD Runner LW PREM "Anthracite";379.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/902863_002_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/902863_002_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Buty damskie
650;Buty Nike WMNS Court Borough MID SE "Beige";339.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916793_700_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916793_700_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 35.5, Kolor: Beżowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
651;Trapmki Converse Chuck Taylor All Star ember Boot Hi "Black";419.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/557935C_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/557935C_2D_0003.jpg;Buty Damskie;Rozmiary:  36.5  37  37.5  38  39  39.5  40 36, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
652;Buty New Balance 420 Re-Engineered "Elderberry";269.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WRL420TB_2D_0002~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WRL420TB_2D_0004.jpg;Buty Damskie;Rozmiary:  38  39  40 37, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
653;Buty New Balance Suede 745 "Navy";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL745NV_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL745NV_2D_0003.jpg;Buty Męskie;Rozmiary:  37  38  39  40 36, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
654;Buty New Balance 420 Re-Engineered "Tan";269.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WRL420TC_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WRL420TC_2D_0003.jpg;Buty Damskie;Rozmiary:  38  39  40 37, Kolor: Beżowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
655;Buty New Balance 520 "Black";279.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL520BK_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL520BK_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  39  40 36, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
656;Buty New Balance 420 Re-Engineered "Light Cyclone";269.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WRL420TA_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WRL420TA_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  39  40 36, Kolor: Niebieski, Sezon: Jesień/Zima;1;200;1;Buty damskie
657;Buty New Balance Suede 745 "Beige";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL745BE_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL745BE_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  39  40 36, Kolor: Beżowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
658;Buty New Balance 247 Classic "Blue";269.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WRL247CC_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WRL247CC_2D_0003.jpg;Buty Damskie;Rozmiary:  38  39  40 37, Kolor: Niebieski, Sezon: Jesień/Zima;1;200;1;Buty damskie
659;Buty New Balance 520 "Beige";279.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL520BS_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL520BS_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  39 36, Kolor: Beżowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
660;Buty New Balance 247 Classic "Grey";319.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WRL247CA_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WRL247CA_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  39  40 36, Kolor: Szary, Sezon: Jesień/Zima;1;200;1;Buty damskie
661;Buty New Balance 247 Classic Women "Bone";319.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WRL247CB_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WRL247CB_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  39  40 36, Kolor: Beżowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
662;Buty New Balance 373 Women "Navy";249.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL373MIN_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/WL373MIN_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  39  40 36, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
663;Buty Sorel Caribou Slim "Red Element";569.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NL2649611_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NL2649611_2D_0003.jpg;Buty Damskie;Rozmiary:  38  39  40 37, Kolor: Czerwony, Sezon: Jesień/Zima;1;200;1;Buty damskie
664;Buty Ozoshi "Camel";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/OZJ023_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/OZJ023_2D_0003.jpg;Buty Damskie;Rozmiary:  37  38  39  40 36, Kolor: Żółty, Sezon: Jesień/Zima;1;200;1;Buty damskie
